# Motion State    
# Angle Units     : degrees
# Time            	centreOfRotation	centreOfMass	rotation	velocity	omega
0                 	(2.5000000000e-01 7.0000000000e-03 1.2500000000e-01)	(4.9746127459e-01 -1.6718957439e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5152851900e+00)	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3001308177e+01)
1.19904e-05       	(2.5000000000e-01 7.0000000000e-03 1.2500000000e-01)	(4.9746111078e-01 -1.6720666469e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5156808891e+00)	(0.0000000000e+00 5.3330633322e-06 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3004037586e+01)
2.62386e-05       	(2.5000000000e-01 7.0000001520e-03 1.2500000000e-01)	(4.9746091607e-01 -1.6722697495e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5161511772e+00)	(0.0000000000e+00 1.1753075006e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.2995731267e+01)
4.27515e-05       	(2.5000000000e-01 7.0000038574e-03 1.2500000000e-01)	(4.9746069054e-01 -1.6725046229e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5166958485e+00)	(0.0000000000e+00 2.9426086466e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.2979699363e+01)
6.15034e-05       	(2.5000000000e-01 7.0000106854e-03 1.2500000000e-01)	(4.9746043449e-01 -1.6727710002e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5173141862e+00)	(0.0000000000e+00 4.0219221261e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.2975002219e+01)
8.2515e-05        	(2.5000000000e-01 7.0000199360e-03 1.2500000000e-01)	(4.9746014753e-01 -1.6730693231e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5180070507e+00)	(0.0000000000e+00 4.5703230569e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.2979352603e+01)
0.000105158       	(2.5000000000e-01 7.0000306642e-03 1.2500000000e-01)	(4.9745983819e-01 -1.6733908064e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5187538827e+00)	(0.0000000000e+00 4.7967901750e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.2989448929e+01)
0.0001278         	(2.5000000000e-01 7.0000416584e-03 1.2500000000e-01)	(4.9745952869e-01 -1.6737123809e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5195009884e+00)	(0.0000000000e+00 4.8843850849e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3001871558e+01)
0.000150443       	(2.5000000000e-01 7.0000527833e-03 1.2500000000e-01)	(4.9745921903e-01 -1.6740340667e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5202483830e+00)	(0.0000000000e+00 4.9528700291e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3014392432e+01)
0.000173086       	(2.5000000000e-01 7.0000640876e-03 1.2500000000e-01)	(4.9745890921e-01 -1.6743558543e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5209960558e+00)	(0.0000000000e+00 5.0548470909e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3026301069e+01)
0.000195728       	(2.5000000000e-01 7.0000756743e-03 1.2500000000e-01)	(4.9745859925e-01 -1.6746777260e-02 1.2500000000e-01)	(0.0000000000e+00 0.0000000000e+00 -5.5217439896e+00)	(0.0000000000e+00 5.2008183887e-04 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 -3.3037505473e+01)
