# Forces      
# CofR        : (4.974613e-01 -1.671896e-02 1.250000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (1.746032e+00 4.978621e-02 1.808886e-20)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-1.669122e-19 3.879601e-18 1.371212e-02))
10            	((-2.232040e+02 1.137030e+02 -3.592692e-16) (2.224928e+00 -1.663644e+00 -6.164464e-19)) ((2.959275e-16 -6.484684e-16 -2.498857e+02) (-1.798406e-18 -7.421748e-19 5.119449e-01))
20            	((-7.884242e+01 4.028531e+02 -8.259107e-17) (1.128034e+00 -1.174161e-01 3.402087e-19)) ((-1.450999e-15 -5.518704e-16 -8.640102e+01) (2.542090e-18 2.705793e-18 -4.764316e-03))
30            	((-7.512724e+01 1.801214e+02 -3.489776e-17) (6.494332e-01 -1.193129e-01 -1.112270e-19)) ((-7.390506e-16 -4.304889e-16 -7.209272e+01) (9.278957e-19 1.122174e-19 7.761483e-03))
40            	((-2.377193e+01 2.095577e+02 5.543429e-18) (6.526619e-01 -1.336211e-01 -1.339802e-19)) ((-6.631124e-16 -5.456905e-17 -5.274307e+01) (8.467870e-19 9.855759e-19 2.164195e-02))
50            	((5.646768e+00 2.445649e+02 1.348715e-17) (6.427330e-01 -1.342224e-01 -7.645530e-20)) ((-2.597291e-16 5.755949e-17 -3.813896e+01) (7.489852e-19 1.842366e-18 3.281182e-02))
60            	((1.088154e+01 2.511039e+02 7.198901e-18) (7.901870e-01 -6.173812e-02 6.804580e-20)) ((2.183755e-16 3.912293e-17 -3.834410e+01) (2.225859e-20 3.706754e-18 2.270497e-04))
70            	((1.751317e+01 2.624378e+02 7.888939e-18) (8.716911e-01 -1.986689e-02 1.018593e-19)) ((-2.810944e-17 2.388572e-17 -3.155916e+01) (4.850105e-20 2.928365e-18 -1.783214e-02))
80            	((2.192563e+01 2.797763e+02 8.203568e-18) (9.577496e-01 1.618638e-02 -2.503718e-21)) ((-6.376733e-16 6.714207e-17 -2.699506e+01) (-2.687921e-19 1.222533e-18 -3.403764e-02))
90            	((2.417673e+01 2.804065e+02 1.158687e-17) (1.040964e+00 3.722591e-02 -8.285079e-20)) ((-9.648778e-16 1.181492e-16 -1.941465e+01) (-6.240825e-19 2.838269e-19 -4.516883e-02))
100           	((2.547295e+01 2.861248e+02 1.384339e-17) (1.099641e+00 5.223632e-02 -6.059768e-20)) ((-1.167610e-15 1.598576e-16 -1.289511e+01) (-8.342279e-19 1.683242e-19 -5.162232e-02))
110           	((2.440505e+01 2.720251e+02 1.458273e-17) (1.149482e+00 6.325192e-02 -6.698683e-20)) ((-8.373535e-16 9.110884e-17 -7.958553e+00) (-6.869125e-19 1.376027e-18 -5.454550e-02))
120           	((1.431247e+01 1.948674e+02 1.021540e-17) (1.247543e+00 4.694196e-02 3.640586e-20)) ((-5.122856e-16 2.402454e-17 -1.447191e+01) (-5.174857e-19 1.994736e-18 -6.027940e-02))
130           	((-5.076621e+00 3.935360e+01 -2.051280e-18) (1.445431e+00 -1.414763e-02 1.418913e-19)) ((-8.990188e-17 -4.262317e-17 -3.209401e+01) (-2.169209e-19 2.459902e-18 -6.919793e-02))
140           	((1.554220e+00 6.816298e+01 4.946123e-18) (1.496689e+00 -4.446832e-02 4.178365e-20)) ((-1.383198e-16 2.696752e-17 -1.905917e+01) (-5.647107e-20 2.486451e-18 -6.409693e-02))
150           	((5.583041e+00 9.369856e+01 8.070636e-18) (1.497318e+00 -4.907456e-02 1.958215e-20)) ((-1.788427e-16 6.175863e-17 -1.521252e+01) (-1.268182e-20 2.427607e-18 -6.057472e-02))
160           	((8.100521e+00 1.234758e+02 8.890729e-18) (1.494684e+00 -4.411440e-02 1.393690e-20)) ((-2.330625e-16 7.170329e-17 -1.433563e+01) (-1.482984e-20 2.461655e-18 -6.074895e-02))
170           	((8.092111e+00 1.438644e+02 8.068481e-18) (1.496631e+00 -3.525794e-02 2.263779e-20)) ((-2.641258e-16 6.190401e-17 -1.752506e+01) (-6.229035e-20 2.511592e-18 -6.389128e-02))
180           	((7.692615e+00 1.594765e+02 7.408638e-18) (1.508825e+00 -2.949175e-02 2.977827e-20)) ((-2.949967e-16 4.944877e-17 -2.084072e+01) (-8.452011e-20 2.662472e-18 -6.834735e-02))
